Emotion,Url,color,rgb
shocked,"https://i.guim.co.uk/img/uploads/2018/04/11/Gary_Younge,_L.png?width=300&quality=85&auto=format&fit=max&s=7e5b0376571069837a7fb78ba6c80952","(43, 41, 52)","[(46, 43, 54), (186, 147, 136), (124, 116, 116), (84, 92, 124)]"
shocked,https://retrohelix.com/en/wp-content/uploads/2014/04/JZ6TlEb.jpg,"(195, 173, 159)",
shocked,https://cdn1.thr.com/sites/default/files/imagecache/NFE_portrait/2011/12/michelle-shocked-p.jpg,,
shocked,https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/VGqRaYUogil0szy2p/shocked-upset-man-on-white-background_h4m8mvptwx_thumbnail-full03.png,"(243, 237, 235)",
shocked,https://thumbs.gfycat.com/AcclaimedDelectableHerculesbeetle-size_restricted.gif,"(208, 183, 162)","[(204, 179, 158), (108, 77, 61), (145, 105, 80), (124, 100, 92)]"
shocked,https://therealdeal.com/chicago/wp-content/uploads/2019/04/Keller-690-650x446.png,,
shocked,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2019/04/10/931/524/694940094001_6024746356001_6024742509001-vs.jpg?ve=1&tl=1,"(180, 155, 128)","[(189, 167, 144), (55, 42, 31), (115, 66, 44), (140, 93, 54)]"
shocked,https://i1.wp.com/metro.co.uk/wp-content/uploads/2019/07/image-2019-07-01T114205.551-2115.jpg?quality=90&strip=all&zoom=1&resize=644%2C362&ssl=1,"(168, 152, 148)","[(169, 153, 149), (67, 59, 55), (84, 82, 79), (90, 78, 66)]"
shocked,https://cdn1.vectorstock.com/i/1000x1000/34/40/shocked-emoji-vector-11243440.jpg,"(243, 182, 15)","[(28, 35, 54), (243, 182, 15), (227, 225, 211), (170, 33, 20)]"
shocked,https://www.featurepics.com/StockImage/20090630/shocked-and-surprised-child-stock-photo-1234016.jpg,"(211, 174, 148)",
shocked,https://img3.stockfresh.com/files/m/maridav/m/26/1285817_stock-photo-woman-shocked-looking.jpg,"(223, 175, 149)","[(225, 183, 160), (59, 36, 27), (130, 74, 55), (156, 94, 66)]"
shocked,https://img.freepik.com/free-photo/handsome-man-with-surprise-shocked-facial-expression-isolated-pink-background_1368-34153.jpg?size=626&ext=jpg,"(241, 178, 176)","[(231, 171, 173), (86, 64, 74), (149, 105, 75), (127, 80, 66)]"
shocked,https://static.vecteezy.com/system/resources/previews/000/223/677/non_2x/woman-pop-art-blonde-shocked-vector.jpg,,
shocked,https://pbs.twimg.com/profile_images/834588524636672000/oS8y99XZ_400x400.jpg,"(200, 136, 133)","[(192, 133, 131), (59, 66, 79), (115, 77, 65), (106, 68, 77)]"
shocked,https://img.jakpost.net/c/2019/02/12/2019_02_12_65250_1549952180._large.jpg,,"[(142, 147, 140), (185, 72, 79), (52, 67, 66), (155, 85, 76)]"
shocked,https://media.giphy.com/media/5Ys1tXFlXAZsUctnxe/giphy.gif,"(214, 173, 161)","[(20, 20, 20), (194, 174, 193), (19, 206, 192), (98, 44, 174)]"
shocked,https://st2.depositphotos.com/4421371/11231/i/950/depositphotos_112310786-stock-photo-shocked-young-african-man.jpg,"(236, 237, 236)","[(233, 233, 233), (80, 63, 53), (134, 98, 78), (169, 131, 108)]"
shocked,"https://res.cloudinary.com/teepublic/image/private/s--JjD6VXTN--/t_Preview/b_rgb:ffffff,c_limit,f_jpg,h_630,q_90,w_630/v1446222962/production/designs/185395_1.jpg","(179, 135, 125)","[(115, 88, 81), (229, 224, 220), (216, 149, 144), (197, 189, 177)]"
shocked,https://img.kpopmap.com/2019/05/5a2bfa148a1f9439553a933edd271ac5.jpg,,
shocked,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/3/19/1363691341607/Michelle-Shocked-in-2005-010.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMTMucG5n&enable=upscale&s=6a8fd6f6e5b6ba747cfa63312fa34fad,"(125, 108, 103)","[(99, 88, 90), (219, 193, 118), (177, 185, 193), (161, 167, 183)]"
shocked,https://s.abcnews.com/images/Nightline/180821_ntl_crime_1240_hpMain_16x9_992.jpg,"(52, 34, 26)","[(59, 39, 31), (205, 167, 147), (154, 140, 140), (155, 148, 141)]"
shocked,https://c8.alamy.com/comp/RHXXJ6/shocked-scared-african-woman-with-surprised-face-covering-mouth-RHXXJ6.jpg,"(44, 40, 49)","[(224, 218, 215), (25, 21, 20), (194, 131, 99), (137, 95, 78)]"
shocked,https://i2-prod.mirror.co.uk/incoming/article13838764.ece/ALTERNATES/s615/1_Pretty-blonde-stares-shocked-and-disbelieving-at-computer-monitor.jpg,"(24, 21, 23)","[(203, 142, 125), (24, 21, 23), (120, 141, 154), (100, 120, 135)]"
shocked,https://i.ytimg.com/vi/ZofZd9ZrlgQ/maxresdefault.jpg,"(196, 140, 94)","[(182, 133, 91), (21, 25, 28), (199, 201, 197), (86, 52, 32)]"
shocked,https://thenerdsuncanny.files.wordpress.com/2015/12/shocked-baby-look.jpg?w=468,"(142, 126, 110)","[(158, 101, 102), (38, 41, 36), (218, 222, 224), (213, 181, 193)]"
shocked,https://pics.me.me/thumb_australians-shocked-dont-use-botox-do-this-instead-just-peel-3307394.png,"(168, 151, 143)","[(178, 161, 153), (69, 48, 41), (89, 87, 92), (111, 84, 68)]"
shocked,https://michelleshocked.com/wp-content/themes/michelle/images/michelle-vertical.jpg,"(39, 33, 39)",
shocked,https://nyppagesix.files.wordpress.com/2018/10/juliette-lewis.jpg?quality=90&strip=all&w=618&h=410&crop=1,"(179, 151, 134)",
shocked,https://assets.lifesitenews.com/images/made/images/remote/https_www.lifesitenews.com/images/blog/gov_lujan_grisham_810_500_75_s_c1.jpg,,
shocked,https://thumbs.dreamstime.com/z/cute-muslim-lady-shows-shocked-surprised-face-open-mouth-portrait-cute-young-asian-muslim-lady-wearing-hijab-shows-141027915.jpg,"(124, 104, 98)","[(139, 110, 97), (22, 107, 158), (226, 208, 204), (187, 176, 185)]"
shocked,https://d1yn1kh78jj1rr.cloudfront.net/image/preview/rDtN98Qoishumwih/graphicstock-scared-shocked-young-man-looking-away-and-shouting-over-white-background_BISWLqvXO3l_SB_PM.jpg,"(207, 208, 210)","[(201, 202, 204), (99, 80, 76), (108, 100, 108), (100, 100, 108)]"
shocked,https://c8.alamy.com/comp/MTH156/close-up-portrait-of-a-beautiful-young-latin-hispanic-woman-with-a-surprised-and-shocked-face-looking-amazed-with-wide-eyes-and-mouth-openhuman-facia-MTH156.jpg,"(177, 157, 142)","[(180, 160, 145), (14, 9, 7), (112, 61, 35), (144, 94, 63)]"
shocked,https://cf-images.us-east-1.prod.boltdns.net/v1/static/1242911076001/a2d34171-a50e-4e66-be2e-abc7243d6a39/8d3535c8-0eb5-4946-aad5-1449be91ad28/1920x1080/match/image.jpg,"(136, 154, 159)",
shocked,https://i.imgflip.com/dclzm.jpg,,
shocked,https://i.kym-cdn.com/entries/icons/mobile/000/027/917/Screen_Shot_2018-12-20_at_12.59.02_PM.jpg,"(165, 116, 111)","[(156, 110, 105), (13, 9, 13), (78, 39, 40), (73, 52, 44)]"
startled,https://i.imgflip.com/z4yoo.jpg,,
startled,https://comps.canstockphoto.com/startled-business-person-stock-photography_csp52820909.jpg,"(176, 158, 150)","[(177, 161, 152), (50, 38, 40), (107, 64, 51), (137, 87, 65)]"
startled,https://cdn1.vectorstock.com/i/1000x1000/05/20/pickle-startled-cartoon-character-with-bug-eyes-vector-24350520.jpg,"(33, 40, 34)","[(163, 181, 62), (33, 40, 34), (229, 237, 243), (124, 32, 27)]"
startled,https://www.thecitizen.co.tz/image/view/-/4262138/highRes/1857762/-/maxw/600/-/j0vhm4/-/TRUMP+PIC.jpg,"(189, 86, 74)",
startled,https://farm9.staticflickr.com/8523/29626800702_9cf5d4633c_b.jpg,"(196, 180, 158)","[(198, 182, 161), (65, 45, 54), (134, 68, 63), (160, 102, 70)]"
startled,https://c8.alamy.com/comp/X6R5B1/the-amazed-startled-surprised-woman-who-tears-open-the-eyes-X6R5B1.jpg,"(46, 33, 35)","[(66, 45, 40), (231, 223, 210), (207, 145, 97), (168, 164, 176)]"
surprised,https://image.shutterstock.com/image-photo/surprised-kid-sitting-table-childs-260nw-464300804.jpg,"(205, 195, 191)","[(195, 187, 184), (70, 51, 40), (138, 77, 62), (153, 107, 83)]"
surprised,https://image.shutterstock.com/image-photo/surprised-young-female-model-long-260nw-794523025.jpg,"(210, 212, 210)","[(206, 209, 207), (65, 49, 38), (126, 87, 68), (153, 116, 93)]"
surprised,https://image.shutterstock.com/image-photo/close-funny-handsome-young-darkskinned-260nw-763024255.jpg,"(226, 224, 225)","[(226, 224, 225), (48, 32, 26), (141, 88, 68), (177, 124, 98)]"
surprised,https://stayhipp.com/wp-content/uploads/2019/04/shaq.jpg,,
surprised,https://cdn1.vectorstock.com/i/1000x1000/90/85/surprised-woman-face-for-sale-vector-6839085.jpg,"(73, 63, 67)","[(79, 68, 72), (236, 198, 173), (144, 143, 156), (172, 172, 176)]"
surprised,https://image.shutterstock.com/image-photo/surprised-happy-beautiful-woman-looking-260nw-495746044.jpg,"(187, 178, 172)","[(187, 178, 173), (58, 36, 28), (109, 68, 49), (158, 104, 73)]"
surprised,http://www.myvirtualofficialsassociation.com/wp-content/uploads/2015/11/New-Picture.bmp,"(219, 175, 161)",
surprised,https://www.scienceofpeople.com/wp-content/uploads/2016/10/the_science_of_surprise.jpg,,
surprised,https://i.ytimg.com/vi/JNQU-4YEnm4/hqdefault.jpg,"(193, 148, 97)","[(191, 146, 94), (5, 4, 4), (246, 208, 177), (139, 57, 12)]"
surprised,https://englishhelponline.files.wordpress.com/2011/05/surprisedlady4.gif?w=376&h=368,"(231, 222, 217)","[(229, 220, 214), (46, 32, 25), (145, 82, 54), (186, 128, 95)]"
surprised,https://thumbs.dreamstime.com/z/surprised-shocked-girl-cover-mouth-emotional-face-astonished-amazed-covering-hand-unbelievable-news-young-beautiful-woman-127240421.jpg,"(202, 218, 215)","[(202, 217, 214), (30, 100, 138), (176, 128, 97), (124, 85, 61)]"
surprised,https://thumbs.dreamstime.com/z/close-up-headshot-surprised-shocked-face-man-straight-asian-light-beard-86586917.jpg,"(206, 196, 191)","[(203, 193, 189), (57, 52, 51), (169, 123, 84), (139, 79, 71)]"
surprised,https://i.pinimg.com/originals/6c/58/e9/6c58e93e9ff00d07d094762c357d93b9.jpg,,"[(168, 142, 129), (39, 30, 26), (100, 43, 38), (113, 74, 47)]"
surprised,https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/r_04rgDXior0yhj8/young-surprised-woman-in-gray-sweater-covering-her-mouth_bkhvdsmte_thumbnail-full01.png,"(230, 225, 227)",
surprised,https://static.twentytwowords.com/wp-content/uploads/surprisedbaby_thumb.jpg,,
surprised,https://image.shutterstock.com/image-photo/woman-happy-surprised-shouts-holds-260nw-716950405.jpg,"(227, 219, 215)","[(227, 210, 208), (70, 40, 27), (195, 66, 91), (162, 117, 89)]"
surprised,https://media.mnn.com/assets/images/2016/01/cute-baby.jpg.653x0_q80_crop-smart.jpg,"(196, 186, 192)",
surprised,https://cdn4.vectorstock.com/i/1000x1000/96/33/woman-with-a-funny-surprised-face-vector-23109633.jpg,"(231, 206, 60)","[(230, 203, 59), (15, 14, 20), (180, 74, 147), (238, 199, 173)]"
surprised,https://www.docusign.com/blog/wp-content/uploads/2014/10/shutterstock_224944051_03-720x503.jpg,"(129, 127, 128)",
surprised,https://i.kym-cdn.com/photos/images/original/001/431/201/40f.png,"(222, 183, 64)","[(196, 145, 62), (57, 107, 56), (80, 37, 20), (128, 188, 166)]"
surprised,http://www.speak-simple.com/blog/wp-content/uploads/2013/03/Surprised.jpg,"(215, 163, 134)",
surprised,http://aspiringmormonwomen.org/wp-content/uploads/2015/09/o-vintage-woman-shocked-facebook-980x600.jpg,"(69, 69, 69)",
surprised,https://thumbs.dreamstime.com/z/surprised-startled-amazed-astounded-man-gasping-astonishment-portrait-young-guy-light-background-emotion-facial-122417148.jpg,"(209, 213, 209)","[(207, 211, 206), (54, 43, 33), (116, 87, 65), (155, 127, 88)]"
surprised,https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/VGqRaYUogil0szy2p/face-closeup-of-surprised-man_sbhkwlbv__F0007.png,"(231, 217, 204)",
surprised,https://i.ytimg.com/vi/5hyIFvM1Naw/maxresdefault.jpg,"(218, 200, 196)","[(213, 195, 191), (40, 28, 23), (116, 71, 67), (134, 95, 79)]"
surprised,https://ellenlandreth.files.wordpress.com/2013/10/03-surprised.jpg,"(212, 190, 176)","[(210, 187, 174), (34, 6, 5), (113, 57, 27), (124, 92, 94)]"
surprised,https://media2.giphy.com/media/uQ1IhcydV7k64/giphy.gif,"(160, 152, 153)","[(166, 158, 159), (40, 35, 36), (100, 87, 92), (92, 76, 84)]"
surprised,https://www.meme-arsenal.com/memes/e15cd273e33b6da08112fcaa1bcdc4ec.jpg,"(205, 180, 172)",
surprised,http://newchurchtweed.org/wp-content/uploads/2015/10/surprised-baby.jpg,"(214, 202, 193)",
surprised,https://c8.alamy.com/comp/F6Y0BJ/surprised-funny-middle-aged-man-with-blue-eyes-and-a-shocked-facial-F6Y0BJ.jpg,"(225, 221, 221)","[(225, 220, 221), (32, 28, 27), (130, 93, 79), (157, 120, 102)]"
surprised,https://i.kym-cdn.com/entries/icons/original/000/027/475/Screen_Shot_2018-10-25_at_11.02.15_AM.png,"(234, 184, 61)","[(64, 100, 50), (234, 184, 61), (151, 77, 41), (129, 126, 45)]"
surprised,https://img.freepik.com/free-photo/cute-confident-caucasian-little-surprised-boy-red-sweater_88135-237.jpg?size=626&ext=jpg,"(213, 208, 207)","[(213, 208, 207), (179, 28, 37), (53, 31, 19), (161, 116, 93)]"
surprised,https://cdn1.vectorstock.com/i/1000x1000/28/85/comic-beautiful-surprised-woman-vector-22022885.jpg,"(246, 217, 141)","[(246, 217, 142), (33, 27, 32), (245, 199, 28), (207, 65, 41)]"
surprised,https://media.tenor.com/images/86eb7c00905ba5fa58b0e0bc7c7c7486/tenor.gif,"(198, 133, 128)","[(200, 134, 130), (51, 57, 65), (119, 100, 102), (116, 75, 66)]"
surprised,https://i.pinimg.com/originals/46/fd/c1/46fdc1df8272a4120cd5b08b656dfa25.jpg,,"[(160, 131, 110), (234, 233, 224), (107, 53, 40), (58, 53, 50)]"
surprised,https://c8.alamy.com/comp/J2MGXF/shocked-surprised-young-man-in-full-disbelief-with-hands-on-face-screaming-J2MGXF.jpg,"(78, 77, 84)","[(93, 86, 85), (216, 171, 137), (178, 181, 163), (167, 168, 173)]"
surprised,https://memegenerator.net/img/images/17391904.jpg,,
surprised,https://media.giphy.com/media/3ohuPkmHpczBqz8DVC/giphy.gif,"(213, 159, 158)","[(213, 159, 158), (86, 46, 28), (160, 126, 63), (148, 95, 87)]"
surprised,https://img.freepik.com/free-photo/surprised-excited-woman_23-2147653636.jpg?size=626&ext=jpg,"(143, 210, 215)","[(157, 205, 206), (156, 24, 35), (41, 33, 25), (154, 116, 92)]"
surprised,https://www.wikihow.com/images/thumb/b/b8/Surprised-face-color-Step-11.jpg/aid1457351-v4-1200px-Surprised-face-color-Step-11.jpg,"(237, 184, 149)","[(7, 5, 5), (237, 184, 149), (236, 16, 14), (152, 110, 63)]"
surprised,https://i.gifer.com/XcD.gif,"(62, 55, 55)","[(73, 62, 61), (212, 195, 184), (100, 140, 164), (148, 148, 172)]"
surprised,http://www.macmillandictionaryblog.com/wp-content/uploads/2017/04/shock2-810x421.jpg,"(204, 197, 180)","[(202, 194, 177), (51, 49, 43), (114, 86, 74), (128, 101, 82)]"
surprised,http://www.mykidsite.com/wp-content/uploads/2016/01/Baby-In-Towel-sw111.jpg,"(229, 209, 203)",
surprised,https://media.giphy.com/media/h2OLfcSKKthRK/giphy.gif,"(79, 86, 114)","[(77, 77, 98), (235, 201, 216), (177, 122, 107), (196, 164, 180)]"
surprised,https://img.freepik.com/free-photo/surprised-woman_23-2147615397.jpg?size=626&ext=jpg,"(207, 199, 183)","[(207, 197, 179), (107, 67, 46), (167, 114, 74), (108, 100, 92)]"
surprised,https://cdn1.vectorstock.com/i/1000x1000/57/80/surprised-emoticon-smiley-vector-21045780.jpg,"(246, 182, 30)","[(30, 40, 58), (246, 182, 30), (219, 217, 205), (198, 67, 7)]"
surprised,https://www.stickpng.com/assets/images/586ba201ac70c620df6a290d.png,"(162, 132, 116)",
surprised,https://healthyhomecleaning.com/wp-content/uploads/sites/49/2018/02/surprised-by-norwex.png,"(219, 206, 196)",
