Emotion,Url,color,rgb,palette
shocked,https://img3.stockfresh.com/files/m/maridav/m/26/1285817_stock-photo-woman-shocked-looking.jpg,"(223, 175, 149)","[(225, 183, 160), (59, 36, 27), (130, 74, 55), (156, 94, 66)]","['tan', 'darkslategray', 'sienna', 'sienna']"
shocked,https://img.freepik.com/free-photo/handsome-man-with-surprise-shocked-facial-expression-isolated-pink-background_1368-34153.jpg?size=626&ext=jpg,"(241, 178, 176)","[(231, 171, 173), (86, 64, 74), (149, 105, 75), (127, 80, 66)]","['lightpink', 'darkslategray', 'sienna', 'sienna']"
shocked,https://pbs.twimg.com/profile_images/834588524636672000/oS8y99XZ_400x400.jpg,"(200, 136, 133)","[(192, 133, 131), (59, 66, 79), (115, 77, 65), (106, 68, 77)]","['rosybrown', 'darkslategray', 'darkolivegreen', 'dimgray']"
shocked,https://media.giphy.com/media/5Ys1tXFlXAZsUctnxe/giphy.gif,"(214, 173, 161)","[(20, 20, 20), (194, 174, 193), (19, 206, 192), (98, 44, 174)]","['black', 'silver', 'darkturquoise', 'darkslateblue']"
shocked,https://st2.depositphotos.com/4421371/11231/i/950/depositphotos_112310786-stock-photo-shocked-young-african-man.jpg,"(236, 237, 236)","[(233, 233, 233), (80, 63, 53), (134, 98, 78), (169, 131, 108)]","['lavender', 'darkolivegreen', 'dimgray', 'rosybrown']"
shocked,"https://res.cloudinary.com/teepublic/image/private/s--JjD6VXTN--/t_Preview/b_rgb:ffffff,c_limit,f_jpg,h_630,q_90,w_630/v1446222962/production/designs/185395_1.jpg","(179, 135, 125)","[(115, 88, 81), (229, 224, 220), (216, 149, 144), (197, 189, 177)]","['dimgray', 'gainsboro', 'darksalmon', 'silver']"
shocked,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2013/3/19/1363691341607/Michelle-Shocked-in-2005-010.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMTMucG5n&enable=upscale&s=6a8fd6f6e5b6ba747cfa63312fa34fad,"(125, 108, 103)","[(99, 88, 90), (219, 193, 118), (177, 185, 193), (161, 167, 183)]","['dimgray', 'burlywood', 'silver', 'darkgray']"
shocked,https://s.abcnews.com/images/Nightline/180821_ntl_crime_1240_hpMain_16x9_992.jpg,"(52, 34, 26)","[(59, 39, 31), (205, 167, 147), (154, 140, 140), (155, 148, 141)]","['darkslategray', 'tan', 'gray', 'rosybrown']"
shocked,https://c8.alamy.com/comp/RHXXJ6/shocked-scared-african-woman-with-surprised-face-covering-mouth-RHXXJ6.jpg,"(44, 40, 49)","[(224, 218, 215), (25, 21, 20), (194, 131, 99), (137, 95, 78)]","['gainsboro', 'black', 'peru', 'sienna']"
shocked,https://i2-prod.mirror.co.uk/incoming/article13838764.ece/ALTERNATES/s615/1_Pretty-blonde-stares-shocked-and-disbelieving-at-computer-monitor.jpg,"(24, 21, 23)","[(203, 142, 125), (24, 21, 23), (120, 141, 154), (100, 120, 135)]","['rosybrown', 'black', 'lightslategray', 'slategray']"
shocked,https://i.ytimg.com/vi/ZofZd9ZrlgQ/maxresdefault.jpg,"(196, 140, 94)","[(182, 133, 91), (21, 25, 28), (199, 201, 197), (86, 52, 32)]","['peru', 'black', 'silver', 'darkolivegreen']"
shocked,https://thenerdsuncanny.files.wordpress.com/2015/12/shocked-baby-look.jpg?w=468,"(142, 126, 110)","[(158, 101, 102), (38, 41, 36), (218, 222, 224), (213, 181, 193)]","['gray', 'darkslategray', 'gainsboro', 'silver']"
shocked,https://pics.me.me/thumb_australians-shocked-dont-use-botox-do-this-instead-just-peel-3307394.png,"(168, 151, 143)","[(178, 161, 153), (69, 48, 41), (89, 87, 92), (111, 84, 68)]","['darkgray', 'darkslategray', 'dimgray', 'darkolivegreen']"
shocked,https://thumbs.dreamstime.com/z/cute-muslim-lady-shows-shocked-surprised-face-open-mouth-portrait-cute-young-asian-muslim-lady-wearing-hijab-shows-141027915.jpg,"(124, 104, 98)","[(139, 110, 97), (22, 107, 158), (226, 208, 204), (187, 176, 185)]","['dimgray', 'teal', 'lightgray', 'silver']"
shocked,https://d1yn1kh78jj1rr.cloudfront.net/image/preview/rDtN98Qoishumwih/graphicstock-scared-shocked-young-man-looking-away-and-shouting-over-white-background_BISWLqvXO3l_SB_PM.jpg,"(207, 208, 210)","[(201, 202, 204), (99, 80, 76), (108, 100, 108), (100, 100, 108)]","['lightgray', 'dimgray', 'dimgray', 'dimgray']"
shocked,https://c8.alamy.com/comp/MTH156/close-up-portrait-of-a-beautiful-young-latin-hispanic-woman-with-a-surprised-and-shocked-face-looking-amazed-with-wide-eyes-and-mouth-openhuman-facia-MTH156.jpg,"(177, 157, 142)","[(180, 160, 145), (14, 9, 7), (112, 61, 35), (144, 94, 63)]","['rosybrown', 'black', 'saddlebrown', 'sienna']"
shocked,https://i.kym-cdn.com/entries/icons/mobile/000/027/917/Screen_Shot_2018-12-20_at_12.59.02_PM.jpg,"(165, 116, 111)","[(156, 110, 105), (13, 9, 13), (78, 39, 40), (73, 52, 44)]","['gray', 'black', 'darkslategray', 'darkslategray']"
startled,https://comps.canstockphoto.com/startled-business-person-stock-photography_csp52820909.jpg,"(176, 158, 150)","[(177, 161, 152), (50, 38, 40), (107, 64, 51), (137, 87, 65)]","['darkgray', 'darkslategray', 'saddlebrown', 'sienna']"
startled,https://cdn1.vectorstock.com/i/1000x1000/05/20/pickle-startled-cartoon-character-with-bug-eyes-vector-24350520.jpg,"(33, 40, 34)","[(163, 181, 62), (33, 40, 34), (229, 237, 243), (124, 32, 27)]","['yellowgreen', 'darkslategray', 'lavender', 'saddlebrown']"
startled,https://farm9.staticflickr.com/8523/29626800702_9cf5d4633c_b.jpg,"(196, 180, 158)","[(198, 182, 161), (65, 45, 54), (134, 68, 63), (160, 102, 70)]","['tan', 'darkslategray', 'sienna', 'sienna']"
startled,https://c8.alamy.com/comp/X6R5B1/the-amazed-startled-surprised-woman-who-tears-open-the-eyes-X6R5B1.jpg,"(46, 33, 35)","[(66, 45, 40), (231, 223, 210), (207, 145, 97), (168, 164, 176)]","['darkslategray', 'gainsboro', 'peru', 'darkgray']"
surprised,https://image.shutterstock.com/image-photo/surprised-kid-sitting-table-childs-260nw-464300804.jpg,"(205, 195, 191)","[(195, 187, 184), (70, 51, 40), (138, 77, 62), (153, 107, 83)]","['silver', 'darkslategray', 'sienna', 'sienna']"
surprised,https://image.shutterstock.com/image-photo/surprised-young-female-model-long-260nw-794523025.jpg,"(210, 212, 210)","[(206, 209, 207), (65, 49, 38), (126, 87, 68), (153, 116, 93)]","['lightgray', 'darkslategray', 'sienna', 'gray']"
surprised,https://image.shutterstock.com/image-photo/close-funny-handsome-young-darkskinned-260nw-763024255.jpg,"(226, 224, 225)","[(226, 224, 225), (48, 32, 26), (141, 88, 68), (177, 124, 98)]","['gainsboro', 'black', 'sienna', 'indianred']"
surprised,https://cdn1.vectorstock.com/i/1000x1000/90/85/surprised-woman-face-for-sale-vector-6839085.jpg,"(73, 63, 67)","[(79, 68, 72), (236, 198, 173), (144, 143, 156), (172, 172, 176)]","['darkslategray', 'wheat', 'lightslategray', 'darkgray']"
surprised,https://image.shutterstock.com/image-photo/surprised-happy-beautiful-woman-looking-260nw-495746044.jpg,"(187, 178, 172)","[(187, 178, 173), (58, 36, 28), (109, 68, 49), (158, 104, 73)]","['darkgray', 'darkslategray', 'saddlebrown', 'sienna']"
surprised,https://i.ytimg.com/vi/JNQU-4YEnm4/hqdefault.jpg,"(193, 148, 97)","[(191, 146, 94), (5, 4, 4), (246, 208, 177), (139, 57, 12)]","['peru', 'black', 'wheat', 'saddlebrown']"
surprised,https://englishhelponline.files.wordpress.com/2011/05/surprisedlady4.gif?w=376&h=368,"(231, 222, 217)","[(229, 220, 214), (46, 32, 25), (145, 82, 54), (186, 128, 95)]","['gainsboro', 'black', 'sienna', 'peru']"
surprised,https://thumbs.dreamstime.com/z/surprised-shocked-girl-cover-mouth-emotional-face-astonished-amazed-covering-hand-unbelievable-news-young-beautiful-woman-127240421.jpg,"(202, 218, 215)","[(202, 217, 214), (30, 100, 138), (176, 128, 97), (124, 85, 61)]","['lightgray', 'teal', 'peru', 'sienna']"
surprised,https://thumbs.dreamstime.com/z/close-up-headshot-surprised-shocked-face-man-straight-asian-light-beard-86586917.jpg,"(206, 196, 191)","[(203, 193, 189), (57, 52, 51), (169, 123, 84), (139, 79, 71)]","['silver', 'darkslategray', 'peru', 'sienna']"
surprised,https://image.shutterstock.com/image-photo/woman-happy-surprised-shouts-holds-260nw-716950405.jpg,"(227, 219, 215)","[(227, 210, 208), (70, 40, 27), (195, 66, 91), (162, 117, 89)]","['lightgray', 'darkslategray', 'indianred', 'indianred']"
surprised,https://cdn4.vectorstock.com/i/1000x1000/96/33/woman-with-a-funny-surprised-face-vector-23109633.jpg,"(231, 206, 60)","[(230, 203, 59), (15, 14, 20), (180, 74, 147), (238, 199, 173)]","['goldenrod', 'black', 'palevioletred', 'wheat']"
surprised,https://i.kym-cdn.com/photos/images/original/001/431/201/40f.png,"(222, 183, 64)","[(196, 145, 62), (57, 107, 56), (80, 37, 20), (128, 188, 166)]","['peru', 'darkolivegreen', 'maroon', 'darkseagreen']"
surprised,https://thumbs.dreamstime.com/z/surprised-startled-amazed-astounded-man-gasping-astonishment-portrait-young-guy-light-background-emotion-facial-122417148.jpg,"(209, 213, 209)","[(207, 211, 206), (54, 43, 33), (116, 87, 65), (155, 127, 88)]","['lightgray', 'darkslategray', 'darkolivegreen', 'gray']"
surprised,https://i.ytimg.com/vi/5hyIFvM1Naw/maxresdefault.jpg,"(218, 200, 196)","[(213, 195, 191), (40, 28, 23), (116, 71, 67), (134, 95, 79)]","['silver', 'black', 'sienna', 'dimgray']"
surprised,https://ellenlandreth.files.wordpress.com/2013/10/03-surprised.jpg,"(212, 190, 176)","[(210, 187, 174), (34, 6, 5), (113, 57, 27), (124, 92, 94)]","['silver', 'black', 'saddlebrown', 'dimgray']"
surprised,https://media2.giphy.com/media/uQ1IhcydV7k64/giphy.gif,"(160, 152, 153)","[(166, 158, 159), (40, 35, 36), (100, 87, 92), (92, 76, 84)]","['darkgray', 'darkslategray', 'dimgray', 'dimgray']"
surprised,https://c8.alamy.com/comp/F6Y0BJ/surprised-funny-middle-aged-man-with-blue-eyes-and-a-shocked-facial-F6Y0BJ.jpg,"(225, 221, 221)","[(225, 220, 221), (32, 28, 27), (130, 93, 79), (157, 120, 102)]","['gainsboro', 'black', 'dimgray', 'gray']"
surprised,https://i.kym-cdn.com/entries/icons/original/000/027/475/Screen_Shot_2018-10-25_at_11.02.15_AM.png,"(234, 184, 61)","[(64, 100, 50), (234, 184, 61), (151, 77, 41), (129, 126, 45)]","['darkolivegreen', 'goldenrod', 'sienna', 'olivedrab']"
surprised,https://img.freepik.com/free-photo/cute-confident-caucasian-little-surprised-boy-red-sweater_88135-237.jpg?size=626&ext=jpg,"(213, 208, 207)","[(212, 208, 207), (180, 28, 37), (54, 32, 19), (161, 115, 92)]","['lightgray', 'firebrick', 'black', 'indianred']"
surprised,https://cdn1.vectorstock.com/i/1000x1000/28/85/comic-beautiful-surprised-woman-vector-22022885.jpg,"(246, 217, 141)","[(246, 217, 142), (33, 27, 32), (245, 199, 28), (207, 65, 41)]","['khaki', 'black', 'gold', 'chocolate']"
surprised,https://media.tenor.com/images/86eb7c00905ba5fa58b0e0bc7c7c7486/tenor.gif,"(198, 133, 128)","[(200, 134, 130), (51, 57, 65), (119, 100, 102), (116, 75, 66)]","['rosybrown', 'darkslategray', 'dimgray', 'darkolivegreen']"
surprised,https://c8.alamy.com/comp/J2MGXF/shocked-surprised-young-man-in-full-disbelief-with-hands-on-face-screaming-J2MGXF.jpg,"(78, 77, 84)","[(93, 86, 85), (216, 171, 137), (178, 181, 163), (167, 168, 173)]","['dimgray', 'tan', 'darkgray', 'darkgray']"
surprised,https://media.giphy.com/media/3ohuPkmHpczBqz8DVC/giphy.gif,"(213, 159, 158)","[(213, 159, 158), (86, 46, 28), (160, 126, 63), (148, 95, 87)]","['tan', 'saddlebrown', 'peru', 'sienna']"
surprised,https://img.freepik.com/free-photo/surprised-excited-woman_23-2147653636.jpg?size=626&ext=jpg,"(143, 210, 215)","[(157, 205, 206), (156, 24, 35), (41, 33, 25), (154, 116, 92)]","['lightsteelblue', 'brown', 'black', 'gray']"
surprised,https://www.wikihow.com/images/thumb/b/b8/Surprised-face-color-Step-11.jpg/aid1457351-v4-1200px-Surprised-face-color-Step-11.jpg,"(237, 184, 149)","[(7, 5, 5), (237, 184, 149), (236, 16, 14), (152, 110, 63)]","['black', 'burlywood', 'red', 'sienna']"
surprised,https://i.gifer.com/XcD.gif,"(62, 55, 55)","[(73, 62, 61), (212, 195, 184), (100, 140, 164), (148, 148, 172)]","['darkslategray', 'silver', 'cadetblue', 'darkgray']"
surprised,http://www.macmillandictionaryblog.com/wp-content/uploads/2017/04/shock2-810x421.jpg,"(204, 197, 180)","[(202, 194, 177), (51, 49, 43), (114, 86, 74), (128, 101, 82)]","['silver', 'darkslategray', 'dimgray', 'dimgray']"
surprised,https://media.giphy.com/media/h2OLfcSKKthRK/giphy.gif,"(79, 86, 114)","[(77, 77, 98), (235, 201, 216), (177, 122, 107), (196, 164, 180)]","['darkslategray', 'thistle', 'rosybrown', 'darkgray']"
surprised,https://img.freepik.com/free-photo/surprised-woman_23-2147615397.jpg?size=626&ext=jpg,"(207, 199, 183)","[(207, 197, 179), (107, 67, 46), (167, 114, 74), (108, 100, 92)]","['silver', 'saddlebrown', 'sienna', 'dimgray']"
surprised,https://cdn1.vectorstock.com/i/1000x1000/57/80/surprised-emoticon-smiley-vector-21045780.jpg,"(246, 182, 30)","[(30, 40, 58), (246, 182, 30), (219, 217, 205), (198, 67, 7)]","['darkslategray', 'goldenrod', 'lightgray', 'chocolate']"
